index,Value,Holiday,time,mdate,day,week,month,year
2013-11-07 13:00,34.57,,13,7,3,45,11,2013
2013-11-07 14:00,22.5,,14,7,3,45,11,2013
2013-11-07 15:00,0.0,,15,7,3,45,11,2013
2013-11-07 16:00,7.29,,16,7,3,45,11,2013
2013-11-07 17:00,0.0,,17,7,3,45,11,2013
2013-11-07 18:00,16.33,,18,7,3,45,11,2013
2013-11-07 19:00,0.0,,19,7,3,45,11,2013
2013-11-07 20:00,7.56,,20,7,3,45,11,2013
2013-11-07 21:00,0.0,,21,7,3,45,11,2013
2013-11-07 22:00,0.0,,22,7,3,45,11,2013
2013-11-07 23:00,0.0,,23,7,3,45,11,2013
2013-11-08 00:00,0.0,,0,8,4,45,11,2013
2013-11-08 01:00,0.0,,1,8,4,45,11,2013
2013-11-08 02:00,0.0,,2,8,4,45,11,2013
2013-11-08 03:00,0.0,,3,8,4,45,11,2013
2013-11-08 04:00,0.0,,4,8,4,45,11,2013
2013-11-08 05:00,0.0,,5,8,4,45,11,2013
2013-11-08 06:00,0.0,,6,8,4,45,11,2013
2013-11-08 07:00,0.0,,7,8,4,45,11,2013
2013-11-08 08:00,7.57,,8,8,4,45,11,2013
2013-11-08 09:00,22.09,,9,8,4,45,11,2013
2013-11-08 10:00,59.46,,10,8,4,45,11,2013
2013-11-08 11:00,54.8,,11,8,4,45,11,2013
2013-11-08 12:00,42.29,,12,8,4,45,11,2013
2013-11-08 13:00,43.13,,13,8,4,45,11,2013
2013-11-08 14:00,42.17,,14,8,4,45,11,2013
2013-11-08 15:00,40.27,,15,8,4,45,11,2013
2013-11-08 16:00,36.88,,16,8,4,45,11,2013
2013-11-08 17:00,36.05,,17,8,4,45,11,2013
2013-11-08 18:00,36.85,,18,8,4,45,11,2013
2013-11-08 19:00,31.69,,19,8,4,45,11,2013
2013-11-08 20:00,33.01,,20,8,4,45,11,2013
2013-11-08 21:00,0.0,,21,8,4,45,11,2013
2013-11-08 22:00,0.0,,22,8,4,45,11,2013
2013-11-08 23:00,0.0,,23,8,4,45,11,2013
2013-11-09 00:00,0.0,,0,9,5,45,11,2013
2013-11-09 01:00,0.0,,1,9,5,45,11,2013
2013-11-09 02:00,0.0,,2,9,5,45,11,2013
2013-11-09 03:00,0.0,,3,9,5,45,11,2013
2013-11-09 04:00,0.0,,4,9,5,45,11,2013
2013-11-09 05:00,0.0,,5,9,5,45,11,2013
2013-11-09 06:00,0.0,,6,9,5,45,11,2013
2013-11-09 07:00,0.0,,7,9,5,45,11,2013
2013-11-09 08:00,0.0,,8,9,5,45,11,2013
2013-11-09 09:00,16.17,,9,9,5,45,11,2013
2013-11-09 10:00,35.27,,10,9,5,45,11,2013
2013-11-09 11:00,37.21,,11,9,5,45,11,2013
2013-11-09 12:00,33.94,,12,9,5,45,11,2013
2013-11-09 13:00,36.12,,13,9,5,45,11,2013
2013-11-09 14:00,35.51,,14,9,5,45,11,2013
2013-11-09 15:00,38.42,,15,9,5,45,11,2013
2013-11-09 16:00,35.43,,16,9,5,45,11,2013
2013-11-09 17:00,41.35,,17,9,5,45,11,2013
2013-11-09 18:00,31.83,,18,9,5,45,11,2013
2013-11-09 19:00,32.44,,19,9,5,45,11,2013
2013-11-09 20:00,31.55,,20,9,5,45,11,2013
2013-11-09 21:00,7.39,,21,9,5,45,11,2013
2013-11-09 22:00,0.0,,22,9,5,45,11,2013
2013-11-09 23:00,0.0,,23,9,5,45,11,2013
2013-11-10 00:00,0.0,,0,10,6,45,11,2013
2013-11-10 01:00,0.0,,1,10,6,45,11,2013
2013-11-10 02:00,0.0,,2,10,6,45,11,2013
2013-11-10 03:00,0.0,,3,10,6,45,11,2013
2013-11-10 04:00,0.0,,4,10,6,45,11,2013
2013-11-10 05:00,0.0,,5,10,6,45,11,2013
2013-11-10 06:00,0.0,,6,10,6,45,11,2013
2013-11-10 07:00,0.0,,7,10,6,45,11,2013
2013-11-10 08:00,0.0,,8,10,6,45,11,2013
2013-11-10 09:00,0.0,,9,10,6,45,11,2013
2013-11-10 10:00,0.0,,10,10,6,45,11,2013
2013-11-10 11:00,37.65,,11,10,6,45,11,2013
2013-11-10 12:00,33.94,,12,10,6,45,11,2013
2013-11-10 13:00,34.91,,13,10,6,45,11,2013
2013-11-10 14:00,37.24,,14,10,6,45,11,2013
2013-11-10 15:00,35.53,,15,10,6,45,11,2013
2013-11-10 16:00,32.05,,16,10,6,45,11,2013
2013-11-10 17:00,32.86,,17,10,6,45,11,2013
2013-11-10 18:00,33.73,,18,10,6,45,11,2013
2013-11-10 19:00,28.33,,19,10,6,45,11,2013
2013-11-10 20:00,15.88,,20,10,6,45,11,2013
2013-11-10 21:00,0.0,,21,10,6,45,11,2013
2013-11-10 22:00,0.0,,22,10,6,45,11,2013
2013-11-10 23:00,0.0,,23,10,6,45,11,2013
2013-11-11 00:00,0.0,Veterans Day,0,11,0,46,11,2013
2013-11-11 01:00,0.0,Veterans Day,1,11,0,46,11,2013
2013-11-11 02:00,0.0,Veterans Day,2,11,0,46,11,2013
2013-11-11 03:00,0.0,Veterans Day,3,11,0,46,11,2013
2013-11-11 04:00,0.0,Veterans Day,4,11,0,46,11,2013
2013-11-11 05:00,0.0,Veterans Day,5,11,0,46,11,2013
2013-11-11 06:00,0.0,Veterans Day,6,11,0,46,11,2013
2013-11-11 07:00,0.0,Veterans Day,7,11,0,46,11,2013
2013-11-11 08:00,0.0,Veterans Day,8,11,0,46,11,2013
2013-11-11 09:00,0.0,Veterans Day,9,11,0,46,11,2013
2013-11-11 10:00,23.74,Veterans Day,10,11,0,46,11,2013
2013-11-11 11:00,33.57,Veterans Day,11,11,0,46,11,2013
2013-11-11 12:00,35.54,Veterans Day,12,11,0,46,11,2013
2013-11-11 13:00,33.58,Veterans Day,13,11,0,46,11,2013
2013-11-11 14:00,34.68,Veterans Day,14,11,0,46,11,2013
2013-11-11 15:00,35.16,Veterans Day,15,11,0,46,11,2013
2013-11-11 16:00,32.14,Veterans Day,16,11,0,46,11,2013
2013-11-11 17:00,32.7,Veterans Day,17,11,0,46,11,2013
2013-11-11 18:00,24.42,Veterans Day,18,11,0,46,11,2013
2013-11-11 19:00,15.0,Veterans Day,19,11,0,46,11,2013
2013-11-11 20:00,22.71,Veterans Day,20,11,0,46,11,2013
2013-11-11 21:00,0.0,Veterans Day,21,11,0,46,11,2013
2013-11-11 22:00,0.0,Veterans Day,22,11,0,46,11,2013
2013-11-11 23:00,0.0,Veterans Day,23,11,0,46,11,2013
