Value,Holiday,time,mdate,day,week,month,year
8.0,New Year's Day,10,1,3,1,1,2015
14.0,New Year's Day,11,1,3,1,1,2015
28.0,New Year's Day,12,1,3,1,1,2015
33.0,New Year's Day,13,1,3,1,1,2015
47.0,New Year's Day,14,1,3,1,1,2015
49.0,New Year's Day,15,1,3,1,1,2015
48.0,New Year's Day,16,1,3,1,1,2015
43.0,New Year's Day,17,1,3,1,1,2015
28.0,New Year's Day,18,1,3,1,1,2015
2.0,New Year's Day,19,1,3,1,1,2015
2.0,New Year's Day,20,1,3,1,1,2015
0.0,New Year's Day,21,1,3,1,1,2015
0.0,New Year's Day,22,1,3,1,1,2015
0.0,New Year's Day,23,1,3,1,1,2015
0.0,New Year's Day,0,2,4,1,1,2015
0.0,New Year's Day,1,2,4,1,1,2015
0.0,New Year's Day,2,2,4,1,1,2015
0.0,New Year's Day,3,2,4,1,1,2015
0.0,New Year's Day,4,2,4,1,1,2015
0.0,New Year's Day,5,2,4,1,1,2015
0.0,New Year's Day,6,2,4,1,1,2015
0.0,New Year's Day,7,2,4,1,1,2015
3.0,New Year's Day,8,2,4,1,1,2015
0.0,,9,2,4,1,1,2015
17.0,,10,2,4,1,1,2015
28.0,,11,2,4,1,1,2015
42.0,,12,2,4,1,1,2015
57.0,,13,2,4,1,1,2015
63.0,,14,2,4,1,1,2015
84.0,,15,2,4,1,1,2015
51.0,,16,2,4,1,1,2015
39.0,,17,2,4,1,1,2015
25.0,,18,2,4,1,1,2015
31.0,,19,2,4,1,1,2015
16.0,,20,2,4,1,1,2015
1.0,,21,2,4,1,1,2015
1.0,,22,2,4,1,1,2015
0.0,,23,2,4,1,1,2015
0.0,,0,3,5,1,1,2015
0.0,,1,3,5,1,1,2015
0.0,,2,3,5,1,1,2015
0.0,,3,3,5,1,1,2015
0.0,,4,3,5,1,1,2015
0.0,,5,3,5,1,1,2015
0.0,,6,3,5,1,1,2015
0.0,,7,3,5,1,1,2015
0.0,,8,3,5,1,1,2015
0.0,,9,3,5,1,1,2015
14.0,,10,3,5,1,1,2015
33.0,,11,3,5,1,1,2015
44.0,,12,3,5,1,1,2015
56.0,,13,3,5,1,1,2015
59.0,,14,3,5,1,1,2015
63.0,,15,3,5,1,1,2015
65.0,,16,3,5,1,1,2015
44.0,,17,3,5,1,1,2015
30.0,,18,3,5,1,1,2015
20.0,,19,3,5,1,1,2015
20.0,,20,3,5,1,1,2015
1.0,,21,3,5,1,1,2015
0.0,,22,3,5,1,1,2015
0.0,,23,3,5,1,1,2015
0.0,,0,4,6,1,1,2015
0.0,,1,4,6,1,1,2015
0.0,,2,4,6,1,1,2015
0.0,,3,4,6,1,1,2015
0.0,,4,4,6,1,1,2015
0.0,,5,4,6,1,1,2015
0.0,,6,4,6,1,1,2015
0.0,,7,4,6,1,1,2015
0.0,,8,4,6,1,1,2015
0.0,,9,4,6,1,1,2015
0.0,,10,4,6,1,1,2015
20.0,,11,4,6,1,1,2015
35.0,,12,4,6,1,1,2015
47.0,,13,4,6,1,1,2015
46.0,,14,4,6,1,1,2015
63.0,,15,4,6,1,1,2015
37.0,,16,4,6,1,1,2015
26.0,,17,4,6,1,1,2015
19.0,,18,4,6,1,1,2015
4.0,,19,4,6,1,1,2015
0.0,,20,4,6,1,1,2015
0.0,,21,4,6,1,1,2015
0.0,,22,4,6,1,1,2015
0.0,,23,4,6,1,1,2015
0.0,,0,5,0,2,1,2015
0.0,,1,5,0,2,1,2015
0.0,,2,5,0,2,1,2015
0.0,,3,5,0,2,1,2015
0.0,,4,5,0,2,1,2015
0.0,,5,5,0,2,1,2015
0.0,,6,5,0,2,1,2015
0.0,,7,5,0,2,1,2015
0.0,,8,5,0,2,1,2015
0.0,,9,5,0,2,1,2015
11.0,,10,5,0,2,1,2015
20.0,,11,5,0,2,1,2015
19.0,,12,5,0,2,1,2015
20.0,,13,5,0,2,1,2015
23.0,,14,5,0,2,1,2015
24.0,,15,5,0,2,1,2015
16.0,,16,5,0,2,1,2015
10.0,,17,5,0,2,1,2015
21.0,,18,5,0,2,1,2015
14.0,,19,5,0,2,1,2015
9.0,,20,5,0,2,1,2015
0.0,,21,5,0,2,1,2015
1.0,,22,5,0,2,1,2015
0.0,,23,5,0,2,1,2015
0.0,,0,6,1,2,1,2015
0.0,,1,6,1,2,1,2015
0.0,,2,6,1,2,1,2015
0.0,,3,6,1,2,1,2015
0.0,,4,6,1,2,1,2015
0.0,,5,6,1,2,1,2015
0.0,,6,6,1,2,1,2015
0.0,,7,6,1,2,1,2015
0.0,,8,6,1,2,1,2015
0.0,,9,6,1,2,1,2015
9.0,,10,6,1,2,1,2015
16.0,,11,6,1,2,1,2015
19.0,,12,6,1,2,1,2015
19.0,,13,6,1,2,1,2015
17.0,,14,6,1,2,1,2015
15.0,,15,6,1,2,1,2015
16.0,,16,6,1,2,1,2015
16.0,,17,6,1,2,1,2015
11.0,,18,6,1,2,1,2015
11.0,,19,6,1,2,1,2015
6.0,,20,6,1,2,1,2015
1.0,,21,6,1,2,1,2015
0.0,,22,6,1,2,1,2015
0.0,,23,6,1,2,1,2015
0.0,,0,7,2,2,1,2015
0.0,,1,7,2,2,1,2015
0.0,,2,7,2,2,1,2015
0.0,,3,7,2,2,1,2015
0.0,,4,7,2,2,1,2015
0.0,,5,7,2,2,1,2015
0.0,,6,7,2,2,1,2015
0.0,,7,7,2,2,1,2015
0.0,,8,7,2,2,1,2015
0.0,,9,7,2,2,1,2015
7.0,,10,7,2,2,1,2015
23.0,,11,7,2,2,1,2015
29.0,,12,7,2,2,1,2015
19.0,,13,7,2,2,1,2015
21.0,,14,7,2,2,1,2015
15.0,,15,7,2,2,1,2015
18.0,,16,7,2,2,1,2015
13.0,,17,7,2,2,1,2015
15.0,,18,7,2,2,1,2015
6.0,,19,7,2,2,1,2015
7.0,,20,7,2,2,1,2015
0.0,,21,7,2,2,1,2015
1.0,,22,7,2,2,1,2015
0.0,,23,7,2,2,1,2015
0.0,,0,8,3,2,1,2015
0.0,,1,8,3,2,1,2015
0.0,,2,8,3,2,1,2015
0.0,,3,8,3,2,1,2015
0.0,,4,8,3,2,1,2015
0.0,,5,8,3,2,1,2015
0.0,,6,8,3,2,1,2015
0.0,,7,8,3,2,1,2015
0.0,,8,8,3,2,1,2015
0.0,,9,8,3,2,1,2015
8.0,,10,8,3,2,1,2015
15.0,,11,8,3,2,1,2015
19.0,,12,8,3,2,1,2015
24.0,,13,8,3,2,1,2015
19.0,,14,8,3,2,1,2015
17.0,,15,8,3,2,1,2015
19.0,,16,8,3,2,1,2015
17.0,,17,8,3,2,1,2015
11.0,,18,8,3,2,1,2015
18.0,,19,8,3,2,1,2015
4.0,,20,8,3,2,1,2015
2.0,,21,8,3,2,1,2015
0.0,,22,8,3,2,1,2015
0.0,,23,8,3,2,1,2015
0.0,,0,9,4,2,1,2015
0.0,,1,9,4,2,1,2015
0.0,,2,9,4,2,1,2015
0.0,,3,9,4,2,1,2015
0.0,,4,9,4,2,1,2015
0.0,,5,9,4,2,1,2015
0.0,,6,9,4,2,1,2015
0.0,,7,9,4,2,1,2015
1.0,,8,9,4,2,1,2015
5.0,,9,9,4,2,1,2015
10.0,,10,9,4,2,1,2015
22.0,,11,9,4,2,1,2015
21.0,,12,9,4,2,1,2015
19.0,,13,9,4,2,1,2015
27.0,,14,9,4,2,1,2015
17.0,,15,9,4,2,1,2015
15.0,,16,9,4,2,1,2015
12.0,,17,9,4,2,1,2015
24.0,,18,9,4,2,1,2015
23.0,,19,9,4,2,1,2015
14.0,,20,9,4,2,1,2015
3.0,,21,9,4,2,1,2015
1.0,,22,9,4,2,1,2015
0.0,,23,9,4,2,1,2015
0.0,,0,10,5,2,1,2015
0.0,,1,10,5,2,1,2015
0.0,,2,10,5,2,1,2015
0.0,,3,10,5,2,1,2015
0.0,,4,10,5,2,1,2015
0.0,,5,10,5,2,1,2015
0.0,,6,10,5,2,1,2015
0.0,,7,10,5,2,1,2015
0.0,,8,10,5,2,1,2015
0.0,,9,10,5,2,1,2015
11.0,,10,10,5,2,1,2015
32.0,,11,10,5,2,1,2015
45.0,,12,10,5,2,1,2015
66.0,,13,10,5,2,1,2015
46.0,,14,10,5,2,1,2015
51.0,,15,10,5,2,1,2015
47.0,,16,10,5,2,1,2015
42.0,,17,10,5,2,1,2015
27.0,,18,10,5,2,1,2015
23.0,,19,10,5,2,1,2015
17.0,,20,10,5,2,1,2015
1.0,,21,10,5,2,1,2015
1.0,,22,10,5,2,1,2015
0.0,,23,10,5,2,1,2015
0.0,,0,11,6,2,1,2015
0.0,,1,11,6,2,1,2015
0.0,,2,11,6,2,1,2015
0.0,,3,11,6,2,1,2015
0.0,,4,11,6,2,1,2015
0.0,,5,11,6,2,1,2015
0.0,,6,11,6,2,1,2015
0.0,,7,11,6,2,1,2015
0.0,,8,11,6,2,1,2015
1.0,,9,11,6,2,1,2015
1.0,,10,11,6,2,1,2015
13.0,,11,11,6,2,1,2015
32.0,,12,11,6,2,1,2015
37.0,,13,11,6,2,1,2015
56.0,,14,11,6,2,1,2015
48.0,,15,11,6,2,1,2015
37.0,,16,11,6,2,1,2015
33.0,,17,11,6,2,1,2015
15.0,,18,11,6,2,1,2015
2.0,,19,11,6,2,1,2015
0.0,,20,11,6,2,1,2015
0.0,,21,11,6,2,1,2015
0.0,,22,11,6,2,1,2015
0.0,,23,11,6,2,1,2015
0.0,,0,12,0,3,1,2015
0.0,,1,12,0,3,1,2015
0.0,,2,12,0,3,1,2015
0.0,,3,12,0,3,1,2015
0.0,,4,12,0,3,1,2015
0.0,,5,12,0,3,1,2015
0.0,,6,12,0,3,1,2015
0.0,,7,12,0,3,1,2015
0.0,,8,12,0,3,1,2015
0.0,,9,12,0,3,1,2015
3.0,,10,12,0,3,1,2015
8.0,,11,12,0,3,1,2015
19.0,,12,12,0,3,1,2015
11.0,,13,12,0,3,1,2015
10.0,,14,12,0,3,1,2015
7.0,,15,12,0,3,1,2015
10.0,,16,12,0,3,1,2015
13.0,,17,12,0,3,1,2015
11.0,,18,12,0,3,1,2015
16.0,,19,12,0,3,1,2015
4.0,,20,12,0,3,1,2015
1.0,,21,12,0,3,1,2015
0.0,,22,12,0,3,1,2015
0.0,,23,12,0,3,1,2015
0.0,,0,13,1,3,1,2015
0.0,,1,13,1,3,1,2015
0.0,,2,13,1,3,1,2015
0.0,,3,13,1,3,1,2015
0.0,,4,13,1,3,1,2015
0.0,,5,13,1,3,1,2015
0.0,,6,13,1,3,1,2015
0.0,,7,13,1,3,1,2015
0.0,,8,13,1,3,1,2015
0.0,,9,13,1,3,1,2015
4.0,,10,13,1,3,1,2015
7.0,,11,13,1,3,1,2015
18.0,,12,13,1,3,1,2015
13.0,,13,13,1,3,1,2015
12.0,,14,13,1,3,1,2015
12.0,,15,13,1,3,1,2015
9.0,,16,13,1,3,1,2015
9.0,,17,13,1,3,1,2015
5.0,,18,13,1,3,1,2015
8.0,,19,13,1,3,1,2015
2.0,,20,13,1,3,1,2015
0.0,,21,13,1,3,1,2015
1.0,,22,13,1,3,1,2015
0.0,,23,13,1,3,1,2015
0.0,,0,14,2,3,1,2015
0.0,,1,14,2,3,1,2015
0.0,,2,14,2,3,1,2015
0.0,,3,14,2,3,1,2015
0.0,,4,14,2,3,1,2015
0.0,,5,14,2,3,1,2015
0.0,,6,14,2,3,1,2015
0.0,,7,14,2,3,1,2015
0.0,,8,14,2,3,1,2015
0.0,,9,14,2,3,1,2015
5.0,,10,14,2,3,1,2015
13.0,,11,14,2,3,1,2015
12.0,,12,14,2,3,1,2015
14.0,,13,14,2,3,1,2015
13.0,,14,14,2,3,1,2015
9.0,,15,14,2,3,1,2015
11.0,,16,14,2,3,1,2015
9.0,,17,14,2,3,1,2015
9.0,,18,14,2,3,1,2015
6.0,,19,14,2,3,1,2015
6.0,,20,14,2,3,1,2015
1.0,,21,14,2,3,1,2015
1.0,,22,14,2,3,1,2015
0.0,,23,14,2,3,1,2015
0.0,,0,15,3,3,1,2015
0.0,,1,15,3,3,1,2015
0.0,,2,15,3,3,1,2015
0.0,,3,15,3,3,1,2015
0.0,,4,15,3,3,1,2015
0.0,,5,15,3,3,1,2015
0.0,,6,15,3,3,1,2015
0.0,,7,15,3,3,1,2015
0.0,,8,15,3,3,1,2015
0.0,,9,15,3,3,1,2015
6.0,,10,15,3,3,1,2015
10.0,,11,15,3,3,1,2015
19.0,,12,15,3,3,1,2015
17.0,,13,15,3,3,1,2015
7.0,,14,15,3,3,1,2015
7.0,,15,15,3,3,1,2015
13.0,,16,15,3,3,1,2015
9.0,,17,15,3,3,1,2015
9.0,,18,15,3,3,1,2015
10.0,,19,15,3,3,1,2015
12.0,,20,15,3,3,1,2015
0.0,,21,15,3,3,1,2015
1.0,,22,15,3,3,1,2015
0.0,,23,15,3,3,1,2015
0.0,,0,16,4,3,1,2015
0.0,,1,16,4,3,1,2015
0.0,,2,16,4,3,1,2015
0.0,,3,16,4,3,1,2015
0.0,,4,16,4,3,1,2015
0.0,,5,16,4,3,1,2015
0.0,,6,16,4,3,1,2015
0.0,,7,16,4,3,1,2015
2.0,,8,16,4,3,1,2015
1.0,,9,16,4,3,1,2015
10.0,,10,16,4,3,1,2015
13.0,,11,16,4,3,1,2015
26.0,,12,16,4,3,1,2015
25.0,,13,16,4,3,1,2015
18.0,,14,16,4,3,1,2015
18.0,,15,16,4,3,1,2015
17.0,,16,16,4,3,1,2015
22.0,,17,16,4,3,1,2015
17.0,,18,16,4,3,1,2015
14.0,,19,16,4,3,1,2015
13.0,,20,16,4,3,1,2015
1.0,,21,16,4,3,1,2015
1.0,,22,16,4,3,1,2015
0.0,,23,16,4,3,1,2015
0.0,,0,17,5,3,1,2015
0.0,,1,17,5,3,1,2015
0.0,,2,17,5,3,1,2015
0.0,,3,17,5,3,1,2015
0.0,,4,17,5,3,1,2015
0.0,,5,17,5,3,1,2015
0.0,,6,17,5,3,1,2015
0.0,,7,17,5,3,1,2015
0.0,,8,17,5,3,1,2015
0.0,,9,17,5,3,1,2015
8.0,,10,17,5,3,1,2015
21.0,,11,17,5,3,1,2015
25.0,,12,17,5,3,1,2015
40.0,,13,17,5,3,1,2015
52.0,,14,17,5,3,1,2015
40.0,,15,17,5,3,1,2015
49.0,,16,17,5,3,1,2015
30.0,,17,17,5,3,1,2015
32.0,,18,17,5,3,1,2015
20.0,,19,17,5,3,1,2015
15.0,,20,17,5,3,1,2015
1.0,,21,17,5,3,1,2015
1.0,,22,17,5,3,1,2015
0.0,,23,17,5,3,1,2015
0.0,,0,18,6,3,1,2015
0.0,,1,18,6,3,1,2015
0.0,,2,18,6,3,1,2015
0.0,,3,18,6,3,1,2015
0.0,,4,18,6,3,1,2015
0.0,,5,18,6,3,1,2015
0.0,,6,18,6,3,1,2015
0.0,,7,18,6,3,1,2015
0.0,,8,18,6,3,1,2015
0.0,,9,18,6,3,1,2015
1.0,,10,18,6,3,1,2015
15.0,,11,18,6,3,1,2015
25.0,,12,18,6,3,1,2015
35.0,,13,18,6,3,1,2015
39.0,,14,18,6,3,1,2015
32.0,,15,18,6,3,1,2015
36.0,,16,18,6,3,1,2015
23.0,,17,18,6,3,1,2015
11.0,,18,18,6,3,1,2015
2.0,,19,18,6,3,1,2015
1.0,,20,18,6,3,1,2015
0.0,,21,18,6,3,1,2015
0.0,,22,18,6,3,1,2015
0.0,,23,18,6,3,1,2015
0.0,"Birthday of Martin Luther King, Jr.",0,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",1,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",2,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",3,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",4,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",5,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",6,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",7,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",8,19,0,4,1,2015
0.0,"Birthday of Martin Luther King, Jr.",9,19,0,4,1,2015
7.0,"Birthday of Martin Luther King, Jr.",10,19,0,4,1,2015
22.0,"Birthday of Martin Luther King, Jr.",11,19,0,4,1,2015
38.0,"Birthday of Martin Luther King, Jr.",12,19,0,4,1,2015
42.0,"Birthday of Martin Luther King, Jr.",13,19,0,4,1,2015
30.0,"Birthday of Martin Luther King, Jr.",14,19,0,4,1,2015
37.0,"Birthday of Martin Luther King, Jr.",15,19,0,4,1,2015
